"Date","Tmin_degC","Tmax_degC","Precip_in","Flow_in"
1949-01-01,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-02,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-03,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-04,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-05,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-06,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-07,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-08,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-09,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-10,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-11,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-12,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-13,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-14,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-15,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-16,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-17,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-18,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-19,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-20,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-21,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-22,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-23,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-24,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-25,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-26,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-27,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-28,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-29,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-30,-6.99,1.89,0.167157734315469,0.159175350697414
1949-01-31,-6.99,1.89,0.167157734315469,0.159175350697414
1949-02-01,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-02,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-03,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-04,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-05,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-06,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-07,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-08,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-09,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-10,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-11,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-12,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-13,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-14,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-15,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-16,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-17,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-18,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-19,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-20,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-21,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-22,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-23,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-24,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-25,-9.83,3.07,0.119278638557277,0.107512279848863
1949-02-26,-9.83,3.07,0.119278638557277,0.107512279848863
